order_id,date,amount,status
ORD_20260628_0001,2026-06-28,442.64,PENDING
ORD_20260628_0002,2026-06-28,136.94,PENDING
ORD_20260628_0003,2026-06-28,468.69,PENDING
ORD_20260628_0004,2026-06-28,146.07,REFUNDED
ORD_20260628_0005,2026-06-28,411.03,PENDING
ORD_20260628_0006,2026-06-28,385.42,CANCELLED
ORD_20260628_0007,2026-06-28,257.18,PENDING
ORD_20260628_0008,2026-06-28,280.53,REFUNDED
ORD_20260628_0009,2026-06-28,418.71,REFUNDED
ORD_20260628_0010,2026-06-28,69.17,CANCELLED
ORD_20260628_0011,2026-06-28,96.84,REFUNDED
ORD_20260628_0012,2026-06-28,277.26,PENDING
ORD_20260628_0013,2026-06-28,262.32,COMPLETED
ORD_20260628_0014,2026-06-28,463.02,COMPLETED
ORD_20260628_0015,2026-06-28,157.89,REFUNDED
ORD_20260628_0016,2026-06-28,166.15,PENDING
ORD_20260628_0017,2026-06-28,385.83,PENDING
ORD_20260628_0018,2026-06-28,208.76,PENDING
ORD_20260628_0019,2026-06-28,216.45,CANCELLED
ORD_20260628_0020,2026-06-28,158.82,COMPLETED
ORD_20260628_0021,2026-06-28,321.66,CANCELLED
ORD_20260628_0022,2026-06-28,361.74,REFUNDED
ORD_20260628_0023,2026-06-28,132.52,CANCELLED
ORD_20260628_0024,2026-06-28,97.52,REFUNDED
ORD_20260628_0025,2026-06-28,243.68,CANCELLED
ORD_20260628_0026,2026-06-28,395.34,PENDING
ORD_20260628_0027,2026-06-28,181.63,REFUNDED
ORD_20260628_0028,2026-06-28,250.29,COMPLETED
ORD_20260628_0029,2026-06-28,380.51,REFUNDED
ORD_20260628_0030,2026-06-28,437.11,COMPLETED
ORD_20260628_0031,2026-06-28,239.0,PENDING
ORD_20260628_0032,2026-06-28,185.92,REFUNDED
ORD_20260628_0033,2026-06-28,264.85,REFUNDED
ORD_20260628_0034,2026-06-28,84.61,CANCELLED
ORD_20260628_0035,2026-06-28,471.06,REFUNDED
ORD_20260628_0036,2026-06-28,220.63,REFUNDED
ORD_20260628_0037,2026-06-28,408.77,PENDING
ORD_20260628_0038,2026-06-28,328.41,CANCELLED
ORD_20260628_0039,2026-06-28,61.49,REFUNDED
ORD_20260628_0040,2026-06-28,425.48,PENDING
ORD_20260628_0041,2026-06-28,372.26,COMPLETED
ORD_20260628_0042,2026-06-28,319.15,CANCELLED
ORD_20260628_0043,2026-06-28,222.36,COMPLETED
ORD_20260628_0044,2026-06-28,108.22,REFUNDED
ORD_20260628_0045,2026-06-28,89.1,REFUNDED
ORD_20260628_0046,2026-06-28,360.94,COMPLETED
ORD_20260628_0047,2026-06-28,202.51,REFUNDED
ORD_20260628_0048,2026-06-28,270.6,PENDING
ORD_20260628_0049,2026-06-28,246.03,COMPLETED
ORD_20260628_0050,2026-06-28,376.65,CANCELLED
ORD_20260628_0051,2026-06-28,371.37,COMPLETED
ORD_20260628_0052,2026-06-28,491.58,PENDING
ORD_20260628_0053,2026-06-28,62.5,PENDING
ORD_20260628_0054,2026-06-28,112.84,COMPLETED
ORD_20260628_0055,2026-06-28,34.15,PENDING
ORD_20260628_0056,2026-06-28,176.15,REFUNDED
ORD_20260628_0057,2026-06-28,406.2,PENDING
ORD_20260628_0058,2026-06-28,492.57,COMPLETED
ORD_20260628_0059,2026-06-28,477.49,REFUNDED
ORD_20260628_0060,2026-06-28,405.16,CANCELLED
ORD_20260628_0061,2026-06-28,66.7,REFUNDED
ORD_20260628_0062,2026-06-28,212.58,COMPLETED
ORD_20260628_0063,2026-06-28,357.34,CANCELLED
ORD_20260628_0064,2026-06-28,262.32,PENDING
ORD_20260628_0065,2026-06-28,188.27,COMPLETED
ORD_20260628_0066,2026-06-28,38.51,CANCELLED
ORD_20260628_0067,2026-06-28,229.34,PENDING
ORD_20260628_0068,2026-06-28,128.24,REFUNDED
ORD_20260628_0069,2026-06-28,198.05,CANCELLED
ORD_20260628_0070,2026-06-28,294.57,COMPLETED
ORD_20260628_0071,2026-06-28,336.5,REFUNDED
ORD_20260628_0072,2026-06-28,430.72,COMPLETED
ORD_20260628_0073,2026-06-28,94.64,COMPLETED
