order_id,date,amount,status,processed_at
ORD_20260601_0001,2026-06-01,283.23,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0002,2026-06-01,157.74,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0003,2026-06-01,226.95,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0004,2026-06-01,202.5,PENDING,2026-07-29T08:38:31.484615
ORD_20260601_0005,2026-06-01,313.2,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0006,2026-06-01,194.21,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0007,2026-06-01,384.63,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0008,2026-06-01,134.92,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0009,2026-06-01,25.31,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0010,2026-06-01,318.5,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0011,2026-06-01,188.37,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0012,2026-06-01,462.39,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0013,2026-06-01,68.13,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0014,2026-06-01,309.49,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0015,2026-06-01,426.35,PENDING,2026-07-29T08:38:31.484615
ORD_20260601_0016,2026-06-01,420.52,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0017,2026-06-01,108.59,PENDING,2026-07-29T08:38:31.484615
ORD_20260601_0018,2026-06-01,125.38,PENDING,2026-07-29T08:38:31.484615
ORD_20260601_0019,2026-06-01,92.25,PENDING,2026-07-29T08:38:31.484615
ORD_20260601_0020,2026-06-01,98.66,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0021,2026-06-01,85.08,PENDING,2026-07-29T08:38:31.484615
ORD_20260601_0022,2026-06-01,429.53,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0023,2026-06-01,160.11,PENDING,2026-07-29T08:38:31.484615
ORD_20260601_0024,2026-06-01,150.26,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0025,2026-06-01,253.67,PENDING,2026-07-29T08:38:31.484615
ORD_20260601_0026,2026-06-01,83.34,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0027,2026-06-01,146.07,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0028,2026-06-01,96.9,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0029,2026-06-01,281.08,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0030,2026-06-01,152.21,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0031,2026-06-01,399.69,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0032,2026-06-01,368.61,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0033,2026-06-01,406.69,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0034,2026-06-01,122.51,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0035,2026-06-01,279.5,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0036,2026-06-01,242.02,PENDING,2026-07-29T08:38:31.484615
ORD_20260601_0037,2026-06-01,378.97,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0038,2026-06-01,398.03,PENDING,2026-07-29T08:38:31.484615
ORD_20260601_0039,2026-06-01,311.86,COMPLETED,2026-07-29T08:38:31.484615
ORD_20260601_0040,2026-06-01,361.86,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0041,2026-06-01,182.07,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0042,2026-06-01,187.28,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0043,2026-06-01,283.02,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0044,2026-06-01,300.57,PENDING,2026-07-29T08:38:31.484615
ORD_20260601_0045,2026-06-01,31.71,CANCELLED,2026-07-29T08:38:31.484615
ORD_20260601_0046,2026-06-01,43.06,REFUNDED,2026-07-29T08:38:31.484615
ORD_20260601_0047,2026-06-01,91.21,CANCELLED,2026-07-29T08:38:31.484615
